Timestamp,Sensor 1 (mm),Sensor 2 (mm)
2025-07-12 18:31:11.185,134.0,166.455078125
2025-07-12 18:31:11.219,134.0,166.40625
2025-07-12 18:31:11.253,134.0,166.4306640625
2025-07-12 18:31:11.286,134.0,166.5771484375
2025-07-12 18:31:11.320,134.0,166.6015625
2025-07-12 18:31:11.354,134.0,166.6015625
2025-07-12 18:31:11.388,134.0,166.6015625
2025-07-12 18:31:11.422,134.0,166.6259765625
2025-07-12 18:31:11.456,134.0,166.5283203125
2025-07-12 18:31:11.489,134.0,166.357421875
2025-07-12 18:31:11.524,134.0,166.357421875
2025-07-12 18:31:11.558,134.0,166.8701171875
2025-07-12 18:31:11.592,134.0,166.5771484375
2025-07-12 18:31:11.625,135.0,166.5283203125
2025-07-12 18:31:11.659,135.0,167.28515625
2025-07-12 18:31:11.693,135.0,169.091796875
2025-07-12 18:31:11.727,135.0,167.8466796875
2025-07-12 18:31:11.761,135.0,166.6015625
2025-07-12 18:31:11.796,135.0,164.2578125
2025-07-12 18:31:11.829,135.0,164.453125
2025-07-12 18:31:11.863,135.0,164.84375
2025-07-12 18:31:11.897,135.0,165.5029296875
2025-07-12 18:31:11.931,135.0,166.8212890625
2025-07-12 18:31:11.965,135.0,167.3828125
2025-07-12 18:31:11.999,135.0,167.4560546875
2025-07-12 18:31:12.033,135.0,167.1630859375
2025-07-12 18:31:12.067,135.0,166.552734375
2025-07-12 18:31:12.101,135.0,165.7470703125
2025-07-12 18:31:12.135,135.0,165.5029296875
2025-07-12 18:31:12.169,135.0,165.7958984375
2025-07-12 18:31:12.203,135.0,166.6748046875
2025-07-12 18:31:12.237,135.0,167.1142578125
2025-07-12 18:31:12.271,135.0,167.1142578125
2025-07-12 18:31:12.305,135.0,166.9189453125
2025-07-12 18:31:12.339,135.0,166.6015625
2025-07-12 18:31:12.374,135.0,166.455078125
2025-07-12 18:31:12.407,135.0,166.455078125
2025-07-12 18:31:12.442,135.0,166.455078125
2025-07-12 18:31:12.477,135.0,166.2841796875
